newflag,Destination url,Produtos,Grupo de maturidade,Época,Finalidade,Tecnologia
No,homepage/br/produtos-e-solucoes/milho0/p3551pwu.html,P3551PWU,Precoce,Verão/Safrinha,Grão/Silagem,"PowerCore® Ultra / Agrisure Viptera® / LibertyLink®"
No,homepage/br/produtos-e-solucoes/milho0/p3898.html,P3898,Precoce,Verão/Safrinha,Grão/Silagem,
No,homepage/br/produtos-e-solucoes/milho0/p3889r.html,P3889R,Precoce,Safrinha,Grão/Silagem,"Roundup Ready™"
No,homepage/br/produtos-e-solucoes/milho0/p2501.html,P2501,Superprecoce,Verão,Grão/Silagem,
No,homepage/br/produtos-e-solucoes/milho0/p3282vyh.html,P3282VYH,Superprecoce,Verão,Grão/Silagem,"Leptra® / Agrisure Viptera® / LibertyLink®"
No,homepage/br/produtos-e-solucoes/milho0/p3557r.html,P3557R,Precoce,Verão,Grão/Silagem,"Roundup Ready™"
No,homepage/br/produtos-e-solucoes/milho0/p1225vyhr.html,P1225VYHR,Hiperprecoce,Verão,Grão,"Leptra® / Agrisure Viptera® / LibertyLink® / Roundup Ready™"
No,homepage/br/produtos-e-solucoes/milho0/p2719vyh.html,P2719VYH,Superprecoce,Verão,Grão/Silagem,"Leptra® / Agrisure Viptera® / LibertyLink®"
No,homepage/br/produtos-e-solucoes/milho0/p3016vyhr.html,P3016VYHR,Superprecoce,Verão,Grão/Silagem,"Leptra® / Agrisure Viptera® / LibertyLink®"
No,homepage/br/produtos-e-solucoes/milho0/p3845vyhr.html,P3845VYHR,Precoce,Verão,Grão/Silagem,"Leptra® / Agrisure Viptera® / LibertyLink® / Roundup Ready™ / Optimum AQUAmax®"
No,homepage/br/produtos-e-solucoes/milho0/p3858pwu.html,P385
